Country,GDP/Capita,Social Mobility,Life Expectancy at Birth,Productivity
Australia,51692.8427477695,75.1,82.9,31.02
Austria,48586.8013213238,80.1,81.7926829268293,41.89
Belgium,45159.3482229717,80.1,81.7463414634146,36.93
Bulgaria,10079.2033812203,63.8,74.9146341463415,15.31
Canada,43258.176319834,76.1,82.0487804878049,30.72
Chile,13231.7042069383,60.3,80.181,14.38
Costa Rica,12140.8541545754,61.6,80.279,11.01
Croatia,14134.1626811193,66.7,78.42439024390251,16.49
Cyprus,26623.8008913181,69.4,80.982,24.45
Czech Republic,22932.224968656497,74.7,79.12926829268291,25.22
Denmark,61063.3164304238,85.2,81.2024390243903,44.83
Estonia,23027.0269956294,73.5,78.4975609756098,23.47
Finland,48773.281169134694,83.6,81.78536585365859,33.72
France,39030.3603713482,76.7,82.57804878048779,35.22
Germany,46208.4294717472,78.8,80.9414634146342,41.97
Greece,17622.5410033504,59.8,81.9390243902439,17.86
Hungary,15980.740889649,65.8,76.0219512195122,20.45
Iceland,59270.1800510483,82.7,82.5609756097561,40.78
Ireland,85267.7647437582,75.0,82.3024390243903,49.95
Israel,44168.9436355026,68.1,82.8048780487805,23.53
Italy,31714.2209467105,67.4,83.1975609756098,28.76
Japan,40193.2524448357,76.1,84.3563414634146,26.49
"Korea, Rep.",31631.469450986602,,83.2268292682927,22.39
Latvia,17726.2529351368,69.0,75.2390243902439,20.32
Lithuania,20233.6413480843,70.5,76.1341463414634,24.30
Luxembourg,116014.602496869,79.8,82.4463414634146,84.77
Malta,27884.642827425097,75.0,82.6,25.22
Mexico,8329.27131263927,52.6,75.054,9.63
Netherlands,52397.1167129558,82.4,82.0121951219512,42.51
New Zealand,41441.4666667011,74.3,81.7073170731707,25.19
Norway,67389.912047247,83.6,82.9073170731707,49.67
Poland,15720.994663556,69.1,77.85609756097558,19.34
Portugal,22176.2967116929,72.0,80.6829268292683,22.79
Romania,12896.0886211622,63.1,75.4585365853659,18.02
Russia,10126.7217935297,64.7,73.08390243902441,15.58
Slovakia,19266.5135736247,68.5,77.4707317073171,20.70
Slovenia,25517.33066526,76.4,81.28048780487799,27.20
Spain,27063.1939180299,70.0,83.48536585365851,26.75
Sweden,52274.4087868798,83.5,82.9585365853659,38.64
Switzerland,87097.0364503764,82.1,83.7048780487805,47.01
United Kingdom,41124.534768673104,74.4,81.2048780487805,35.43
United States,63413.5138584508,70.4,78.7878048780488,36.94
