Country,Gini Coefficient
Albania,33.2
Algeria,27.6
Angola,51.3
Argentina,42.9
Armenia,29.9
Australia,34.4
Austria,30.8
Bangladesh,32.4
Belarus,25.3
Belgium,27.2
Benin,47.8
Bhutan,37.4
Bolivia,41.6
Bosnia and Herzegovina,33.0
Botswana,53.3
Brazil,53.4
Bulgaria,41.3
Burkina Faso,35.3
Burundi,38.6
Cabo Verde,42.4
Cameroon,46.6
Canada,33.3
Chad,43.3
Chile,44.4
China,38.5
Colombia,51.3
Comoros,45.3
"Congo, Dem. Rep.",42.1
"Congo, Rep.",48.9
Costa Rica,48.2
Cote d'Ivoire,41.5
Croatia,29.7
Cyprus,32.7
Czech Republic,25.0
Denmark,28.2
Djibouti,41.6
Dominican Republic,41.9
Ecuador,45.7
"Egypt, Arab Rep.",31.5
El Salvador,38.8
Estonia,30.3
Eswatini,54.6
Ethiopia,35.0
Fiji,36.7
Finland,27.3
France,32.4
Gabon,38.0
"Gambia, The",35.9
Georgia,35.9
Germany,31.9
Ghana,43.5
Greece,32.9
Guatemala,48.3
Guinea,33.7
Haiti,41.1
Honduras,48.2
Hungary,29.6
Iceland,26.1
India,35.7
Indonesia,38.2
"Iran, Islamic Rep.",42.0
Iraq,29.5
Ireland,31.4
Israel,39.0
Italy,35.9
Japan,32.9
Kazakhstan,27.8
Kenya,40.8
"Korea, Rep.",31.4
Kosovo,29.0
Kyrgyz Republic,29.7
Lao PDR,38.8
Latvia,35.1
Lebanon,31.8
Lesotho,44.9
Liberia,35.3
Lithuania,35.7
Luxembourg,35.4
Madagascar,42.6
Malawi,44.7
Malaysia,41.1
Maldives,31.3
Malta,28.7
Mauritania,32.6
Mauritius,36.8
Mexico,45.4
"Micronesia, Fed. Sts.",40.1
Moldova,25.7
Mongolia,32.7
Montenegro,38.5
Morocco,39.5
Mozambique,54.0
Myanmar,30.7
Namibia,59.1
Nauru,34.8
Netherlands,28.1
Nicaragua,46.2
Niger,34.3
Nigeria,35.1
North Macedonia,33.0
Norway,27.6
Pakistan,31.6
Panama,49.8
Paraguay,45.7
Peru,41.5
Philippines,42.3
Poland,30.2
Portugal,33.5
Romania,35.8
Russian Federation,37.5
Rwanda,43.7
Samoa,38.7
Sao Tome and Principe,56.3
Senegal,40.3
Serbia,36.2
Seychelles,32.1
Sierra Leone,35.7
Slovak Republic,25.0
Slovenia,24.6
Solomon Islands,37.1
Somalia,36.8
South Africa,63.0
South Sudan,44.1
Spain,34.7
Sri Lanka,39.3
St. Lucia,51.2
Sudan,34.2
Sweden,30.0
Switzerland,33.1
Tajikistan,34.0
Tanzania,40.5
Thailand,34.9
Timor-Leste,28.7
Togo,43.1
Tonga,37.6
Tunisia,32.8
Turkey,41.9
Uganda,42.8
Ukraine,26.6
United Arab Emirates,26.0
United Kingdom,35.1
United States,41.4
Uruguay,39.7
Vietnam,35.7
West Bank and Gaza,33.7
"Yemen, Rep.",36.7
Zambia,57.1
Zimbabwe,50.3
