Country,Gini
Afghanistan,
Albania,33.2
Algeria,27.6
Angola,51.3
Argentina,41.4
Armenia,34.4
Australia,34.4
Austria,29.7
Azerbaijan,26.6
Bahrain,
Bangladesh,32.4
Belarus,25.2
Belgium,27.4
Belize,53.3
Benin,47.8
Bhutan,37.4
Bolivia,42.2
Bosnia and Herzegovina,33.0
Botswana,53.3
Brazil,53.9
Bulgaria,40.4
Burkina Faso,35.3
Burundi,38.6
Cambodia,
Cameroon,46.6
Canada,33.8
Cape Verde,47.2
Central African Republic,56.2
Chad,43.3
Chile,44.4
China,38.5
Colombia,50.4
Comoros,45.3
DR Congo,42.1
Congo,48.9
Costa Rica,48.0
Ivory Coast,41.5
Croatia,30.4
Cuba,
Cyprus,31.4
Czech Republic,24.9
Denmark,28.7
Djibouti,44.6
Dominican Republic,43.7
Ecuador,45.4
Egypt,31.5
El Salvador,38.6
Equatorial Guinea,
Estonia,30.4
Eswatini,54.6
Ethiopia,35.0
EU,
Fiji,36.7
Finland,27.4
France,31.6
Gabon,38.0
Gambia,35.9
Georgia,36.4
Germany,31.9
Ghana,43.5
Greece,34.4
Guatemala,48.3
Guinea,33.7
Guinea-Bissau,50.7
Guyana,44.6
Haiti,41.1
Honduras,52.1
Hong Kong,
Hungary,30.6
Iceland,26.8
India,37.8
Indonesia,39.0
Iran,40.8
Iraq,29.5
Ireland,32.8
Israel,39.0
Italy,35.9
Jamaica,45.5
Japan,32.9
Jordan,33.7
Kazakhstan,27.5
Kenya,40.8
North Korea,
South Korea,31.6
Kosovo,29.0
Kuwait,
Kyrgyzstan,27.7
Laos,36.4
Latvia,35.6
Lebanon,31.8
Lesotho,44.9
Liberia,35.3
Libya,
Lithuania,37.3
Luxembourg,34.9
Macau,
North Macedonia,34.2
Madagascar,42.6
Malawi,44.7
Malaysia,41.0
Maldives,31.3
Mali,33.0
Malta,29.2
Mauritania,32.6
Mauritius,36.8
Mexico,45.4
Micronesia,40.1
Moldova,25.7
Mongolia,32.7
Montenegro,39.0
Morocco,39.5
Mozambique,54.0
Myanmar,30.7
Namibia,59.1
Nepal,32.8
Netherlands,28.5
New Zealand,
Nicaragua,46.2
Niger,34.3
Nigeria,35.1
Norway,27.0
Oman,
Pakistan,33.5
Panama,49.2
Papua New Guinea,41.9
Paraguay,46.2
Peru,42.8
Philippines,44.4
Poland,29.7
Portugal,33.8
Qatar,
Romania,36.0
Russia,37.5
Rwanda,43.7
São Tomé and Príncipe,56.3
Saudi Arabia,
Senegal,40.3
Serbia,36.2
Seychelles,46.8
Sierra Leone,35.7
Singapore,
Slovakia,25.2
Slovenia,24.2
Somalia,
South Africa,63.0
South Sudan,46.3
Spain,34.7
Sri Lanka,39.8
Saint Lucia,51.2
Sudan,35.4
Suriname,57.6
Sweden,28.8
Switzerland,32.7
Syria,35.8
Taiwan,
Tajikistan,34.0
Tanzania,40.5
Thailand,36.4
East Timor,28.7
Togo,43.1
Trinidad and Tobago,40.3
Tunisia,32.8
Turkey,41.9
Turkmenistan,40.8
Uganda,42.8
Ukraine,26.1
United Arab Emirates,32.5
United Kingdom,34.8
United States,41.4
Uruguay,39.7
Uzbekistan,35.3
Venezuela,46.9
Vietnam,35.7
Palestine,33.7
Yemen,36.7
Zambia,57.1
Zimbabwe,44.3
World,12.0[citation needed]
