Rank,Country,Index Score
1,Denmark,85.2
2,Norway,83.6
3,Finland,83.6
4,Sweden,83.5
5,Iceland,82.7
6,Netherlands,82.4
7,Switzerland,82.1
8,Belgium,80.1
9,Austria,80.1
10,Luxembourg,79.8
11,Germany,78.8
12,France,76.7
13,Slovenia,76.4
14,Canada,76.1
15,Japan,76.1
16,Australia,75.1
17,Malta,75.0
18,Ireland,75.0
19,Czech Republic,74.7
20,Singapore,74.6
21,United Kingdom,74.4
22,New Zealand,74.3
23,Estonia,73.5
24,Portugal,72.0
25,South Korea,71.4
26,Lithuania,70.5
27,United States,70.4
28,Spain,70.0
29,Cyprus,69.4
30,Poland,69.1
31,Latvia,69.0
32,Slovakia,68.5
33,Israel,68.1
34,Italy,67.4
35,Uruguay,67.1
36,Croatia,66.7
37,Hungary,65.8
38,Kazakhstan,64.8
39,Russia,64.7
40,Bulgaria,63.8
41,Serbia,63.8
42,Romania,63.1
43,Malaysia,62.0
44,Costa Rica,61.6
45,China,61.5
46,Ukraine,61.2
47,Chile,60.3
48,Greece,59.8
49,Moldova,59.6
50,Vietnam,57.8
51,Argentina,57.3
52,Saudi Arabia,57.1
53,Georgia,55.6
54,Albania,55.6
55,Thailand,55.4
56,Armenia,53.9
57,Ecuador,53.9
58,Mexico,52.6
59,Sri Lanka,52.3
60,Brazil,52.1
61,Philippines,51.7
62,Tunisia,51.7
63,Panama,51.4
64,Turkey,51.3
65,Colombia,50.3
66,Peru,49.9
67,Indonesia,49.3
68,El Salvador,47.4
69,Paraguay,46.8
70,Ghana,45.5
71,Egypt,44.8
72,Laos,43.8
73,Morocco,43.7
74,Honduras,43.5
75,Guatemala,43.5
76,India,42.7
77,South Africa,41.4
78,Bangladesh,40.2
79,Pakistan,36.7
80,Cameroon,36.0
81,Senegal,36.0
82,Ivory Coast,34.5
